"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","sample_mean"
"W_pred[8,96,2]",0.143689506839537,0.00415582934210692,0.24874627712274,4.6570041676865e-05,0.00793246212436927,0.0439934095799857,0.166278990464688,0.883756849832344,3582.59544162624,0.999522312799141,0.00240873385133356
"W_pred[8,96,3]",0.100724843306499,0.00336393709430062,0.187575197558229,8.16225702966688e-14,0.00234065141987482,0.0261673425408282,0.113819698739952,0.623859716388007,3109.24606446231,1.00019071793674,0.0459667196838322
"W_pred[8,96,4]",1.67619057983564,0.0104761040070144,0.661034980773826,0.658416292925922,1.19795464262973,1.59010449689831,2.06041501688528,3.18558864723067,3981.52348194367,1.00028688036507,1.15663665564566
"W_pred[8,97,1]",0.721697973080001,0.0311748848339551,1.8594601458885,3.78190020139969e-14,0.00478763790595557,0.0805782124564524,0.567041013576164,5.65387104507979,3557.65666202085,0.99986587202152,5.72522198006195e-26
"W_pred[8,97,2]",0.301381498712862,0.00876864621299041,0.526110329774857,9.542299664413e-05,0.0168102591712549,0.0924505918054288,0.348522059443589,1.88153205015805,3599.884457373,0.99955355037019,0.00320109618995456
"W_pred[8,97,3]",0.210249306770633,0.00692795023700192,0.388515559673507,1.84682353645344e-13,0.00498618816703765,0.0550664715501884,0.237835105576438,1.35217455106515,3144.90342937999,1.0001047233373,0.00412807633468937
"W_pred[8,97,4]",3.50222950598767,0.0209598918299257,1.32981608005694,1.40116177729101,2.54096381845341,3.34175071401908,4.30690138256993,6.50809352595527,4025.36333223478,1.00008965202469,4.14075467195178
"W_pred[8,98,1]",0.568940078078357,0.0236863866693099,1.43035721852967,3.38416955846902e-14,0.00383491404316078,0.0635789484080344,0.450228636613101,4.56738827074744,3646.62743313389,0.999897690544528,0.187962747834914
"W_pred[8,98,2]",0.240205259230606,0.00699761456406596,0.420633346904166,8.10727865548167e-05,0.0134089075857578,0.0737273086750027,0.273991945263057,1.48216669047171,3613.32781704269,0.999549918414764,0.000606514329609902
"W_pred[8,98,3]",0.167955846163366,0.00559339888651856,0.312416249901782,1.57000605202589e-13,0.00395706504749722,0.0438914162652363,0.188021733935732,1.08906875286711,3119.72021320119,1.00009089152927,6.50918750059002e-06
"W_pred[8,98,4]",2.79238505863676,0.0170468403193692,1.06358138575763,1.11833191147456,2.02974136212037,2.68670509259329,3.41821305879033,5.18300628464983,3892.72451146988,1.00054988282269,1.81535581063171
"W_pred[8,99,1]",0.0529784446895186,0.00226106696604657,0.13665348061606,3.04243112981835e-15,0.000317754418504951,0.00558923307047723,0.0397664218587758,0.439851620589528,3652.70454952496,0.999847843975493,0.0108538244373144
"W_pred[8,99,2]",0.0221335581728087,0.000684363185969656,0.0415859981588384,6.73011882619989e-06,0.00111437297424686,0.00660993347967428,0.0246655600086951,0.139928222216939,3692.50405675926,0.999661104742333,0.00827551226081485
"W_pred[8,99,3]",0.0156910317733743,0.000572095552764894,0.0322217714981417,1.90328417817154e-14,0.000341327266627183,0.00380035980234232,0.016493489453868,0.101581000660629,3172.20820070869,1.00005515806485,0.000987743575241143
"W_pred[8,99,4]",0.255420879443082,0.00211126323081435,0.126666238713739,0.0767150413395122,0.164400716331882,0.231650798118546,0.32288775448871,0.562141035455646,3599.45692562002,1.00043928409269,0.395946694945602
"W_pred[8,100,1]",0.906510125767392,0.0377109442240623,2.27351791213455,5.50847261475146e-14,0.00595174701508124,0.10093447354179,0.724232800438223,7.16189293232581,3634.64456428324,0.999851105184117,0.00182353456003396
"W_pred[8,100,2]",0.380178310942693,0.0110362873296484,0.662040048984959,0.000125327379828785,0.0211767507376294,0.117461605500996,0.440600613904009,2.28066062506808,3598.50844859519,0.999579089467242,0.00119065975558534
"W_pred[8,100,3]",0.267227353329442,0.00889899836200166,0.497568888934476,2.29197312753371e-13,0.00634305236561344,0.0700227103047037,0.298839723087788,1.6905893090393,3126.25343467146,1.00023122747325,0.292827238624408
