2023,2022,2021,2020,NM_MUN,Average Maximum Temperature,Average Temperature,Average Precipitation,Average Rainfall,Municipalities
32,142,30,91,Cajuru,28.083333333333332,-0.5471074948388954,11.549999999999999,0.3640784674763943,106
5,0,3,9,Campina do Monte Alegre,26.333333333333332,-0.9911427258416203,10.936111111111112,-0.5943613780669146,107
11296,11266,2351,3961,Campinas,27.083333333333332,-0.8032816665712365,11.366666666666667,0.33117738573318495,108
130,105,14,21,Campo Limpo Paulista,25.5,-1.4180996787288531,11.833333333333334,0.7800421438012773,109
4,5,6,5,Campos do Jordão,21.25,-5.004538082981618,12.433333333333332,0.43693086276493126,110
310,212,6,55,Campos Novos Paulista,27.833333333333332,0.06771051731872131,10.508333333333333,-0.4090969534890713,111
12,2,9,62,Cananéia,24.833333333333332,-0.29093332310655656,13.616666666666667,5.8738346208305865,112
4,3,4,135,Canas,28.166666666666664,-0.5983423291853628,12.8,0.7641791222465152,113
1156,61,57,308,Cândido Mota,28.583333333333332,0.47758919209046435,10.525,0.13259585664022983,114
207,96,1,34,Cândido Rodrigues,29.0,0.3495021062242949,10.9625,-0.6164912723346704,115
367,73,6,64,Canitar,28.583333333333332,0.47758919209046435,10.541666666666666,-0.06481063381903626,116
557,27,200,3,Capão Bonito,24.75,-1.7255086848076615,11.5,0.005691684202130624,117
168,31,641,19,Capela do Alto,27.25,-0.6495771635318323,10.875,-0.7945096253381151,118
88,157,251,56,Capivari,28.166666666666668,-0.29093332310655656,10.683333333333332,-0.6147287143841408,119
1111,336,136,691,Caraguatatuba,28.416666666666668,0.9387027012086769,12.541666666666666,0.8399691141192708,120
96,153,53,18,Carapicuíba,25.25,-1.264395175689449,12.116666666666667,1.0103497160037587,121
44,224,121,181,Cardoso,29.833333333333332,1.1436420385945507,10.883333333333333,-0.5277758554913672,122
108,10,10,770,Casa Branca,27.833333333333332,-0.7008119978782996,11.458333333333334,0.34175273343635837,123
19,18,9,13,Cássia dos Coqueiros,28.333333333333332,-0.3677855746262565,11.5625,0.392866914001704,124
384,580,1135,493,Castilho,29.916666666666668,1.0411723699016138,10.591666666666667,-1.4231552943601877,125
1248,3724,453,7559,Catanduva,29.333333333333332,0.8362330325157422,10.591666666666667,-0.8262356684476414,126
65,346,23,60,Catiguá,29.333333333333332,0.8362330325157422,10.591666666666667,-0.8262356684476414,127
111,845,157,69,Cedral,29.194444444444443,0.40927607962850937,10.669444444444444,-0.7580834276938466,128
331,12,1,4,Cerqueira César,26.583333333333332,-0.6495771635318323,10.541666666666666,-0.25986704701093427,129
80,254,176,35,Cerquilho,27.666666666666668,-0.44463782614596076,10.758333333333333,-0.8097851275760347,130
34,184,447,3,Cesário Lange,27.722222222222225,-0.47879438237694044,10.769444444444446,-0.8039099344076035,131
151,581,238,101,Charqueada,28.166666666666668,-0.39340299179949123,10.858333333333334,-0.20581526986137003,132
8,262,43,142,Clementina,29.635416666666668,1.1500463928878577,10.320833333333333,-1.127339318329707,133
163,172,36,13,Colina,29.770833333333332,0.8106156153425075,10.995833333333334,-0.3500512621463437,134
345,215,5,9,Colômbia,30.041666666666664,1.194876872941018,11.458333333333332,0.3182519607626354,135
63,43,15,2161,Conchal,27.833333333333332,-0.5983423291853649,11.275,0.34175273343635837,136
678,2,327,5,Conchas,27.916666666666668,-0.08599398572068287,10.691666666666665,-0.715782036881145,137
38,276,998,588,Cordeirópolis,27.5,-0.8545165009177038,10.883333333333333,0.05739338408431673,138
97,499,15,24,Coroados,29.63958333333333,1.1372376843012393,10.309999999999999,-1.1312169458208716,139
26,0,0,2,Coronel Macedo,27.333333333333336,-0.3524151243223169,10.718333333333334,-0.14706333817706563,140
22,22,7,6,Corumbataí,27.5125,-0.8622017260696736,10.94875,0.02748865085700626,141
312,559,25,106,Cosmópolis,28.0,-0.3421681574530239,11.266666666666666,0.19957305876033554,142
34,326,476,83,Cosmorama,29.505208333333332,0.7753916667293121,10.677083333333334,-0.6291963775614009,143
115,270,34,51,Cotia,24.916666666666668,-1.5718041817682573,12.125,1.0268002568753614,144
383,705,24,263,Cravinhos,28.25,-0.39340299179949123,11.25,0.25832499044464396,145
21,66,5,2,Cristais Paulista,27.0,-0.7008119978783018,12.087499999999999,1.4439389718339335,146
180,28,11,97,Cruzália,28.875,0.6312936951298708,10.5625,0.12378306688758395,147
40,23,26,4414,Cruzeiro,28.083333333333332,-0.5983423291853649,12.591666666666667,0.8070680323760574,148
61,47,2625,769,Cubatão,28.25,1.3998162103268894,12.6,2.4168709605260355,149
65,3,2,12,Cunha,23.916666666666668,-2.5452660343511497,13.041666666666666,1.4627395899729123,150
47,851,28,35,Descalvado,27.75,-0.7008119978782996,10.833333333333334,0.15609662931395277,151
263,359,396,180,Diadema,24.583333333333332,-1.52056934742179,12.491666666666667,1.6554459258974341,152
38,251,3,38,Dirce Reis,29.625,0.8874678668622096,10.6375,-0.9002631023698654,153
4,11,0,6,Divinolândia,27.166666666666668,-1.0082210039571102,11.583333333333332,0.4574940388544376,154
331,286,5,29,Dobrada,29.0,0.2897281328200805,11.049999999999999,-0.4470898693115892,155
288,72,0,106,Dois Córregos,27.333333333333332,-0.5983423291853649,10.75,-0.45139834430176906,156
54,250,40,38,Dolcinópolis,29.666666666666668,0.8874678668622096,10.783333333333333,-0.7815842003675676,157
488,238,3,4,Dourado,28.037037037037035,-0.13153606069532245,10.750925925925927,-0.4334463651760097,158
3142,1774,422,2636,Dracena,30.5,1.1692594557677831,10.227083333333333,-0.7845217969517823,159
12,671,12,46,Duartina,28.5,0.3751195233975297,10.558333333333334,-0.5113253146197605,160
207,226,6,204,Dumont,29.729166666666664,0.5544414436101687,11.335416666666667,0.22483638938458808,161
598,31,118,23,Echaporã,28.083333333333332,0.17018018601165597,10.475,-0.29041805148677147,162
3,0,14,107,Eldorado,26.28888888888889,-0.2157888993984026,12.77388888888889,2.9884097519509605,163
6,12,8,4,Elias Fausto,27.75,-0.39340299179949123,10.883333333333333,-0.45727353747020033,164
14,264,8,65,Elisiário,29.416666666666668,1.0070158136706362,10.602777777777778,-0.8552199547452333,165
72,274,2,35,Embaúba,29.569444444444443,0.8447721715734872,10.62986111111111,-0.6816079966181074,166
179,117,51,51,Embu das Artes,24.916666666666668,-1.5718041817682573,12.283333333333333,1.3287851857326947,167
29,10,13,13,Embu-Guaçu,24.416666666666668,-1.6230390161147248,12.525,1.970356279725311,168
436,20,2,17,Emilianópolis,30.305555555555557,1.0582506480171014,10.225,-0.6296125370774981,169
31,48,30,164,Engenheiro Coelho,27.7,-0.6188362629239532,11.218333333333334,0.30415149715840284,170
52,682,10,93,Espírito Santo do Pinhal,27.31666666666667,-0.8955043683948781,11.633333333333333,0.7332756061805724,171
12,252,1,2,Espírito Santo do Turvo,28.208333333333336,0.2214150203581233,10.504166666666666,-0.25927952769408974,172
43,382,41,719,Estrela d'Oeste,29.583333333333336,0.8106156153425075,10.754166666666666,-0.7416328868222399,173
571,37,0,83,Estrela do Norte,29.5,0.682528529476338,10.424999999999999,-0.09536163829487751,174
359,754,20,200,Euclides da Cunha Paulista,30.25,1.2461117072874852,10.924999999999999,0.023317263707422344,175
59,77,5,6,Fartura,28.0,0.11894535166518864,10.683333333333332,-0.12356256550334266,176
193,994,2435,1061,Fernandópolis,29.5,0.7337633638228054,10.725,-0.7016815732769123,177
503,93,5,23,Fernando Prestes,29.083333333333332,0.4818587616193357,10.761342592592593,-0.7180994741864726,178
5,24,3,34,Fernão,28.5,0.3751195233975297,10.558333333333334,-0.5113253146197605,179
152,414,81,61,Ferraz de Vasconcelos,24.916666666666668,-1.8792131878470657,12.433333333333332,1.6836468531059012,180
247,0,0,35,Flora Rica,30.161111111111115,1.0138471249168308,10.266666666666666,-0.7380294350122691,181
16,300,47,33,Floreal,29.375,0.6312936951298708,10.404166666666665,-0.7404578481885529,182
599,229,16,192,Flórida Paulista,30.166666666666668,1.092407204248081,10.316666666666666,-0.9437395318162523,183
37,11,4,1,Florínea,28.73611111111111,0.5629805826679135,10.545833333333333,0.14336704411568743,184
1755,7174,432,388,Franca,26.916666666666668,-0.8032816665712365,12.033333333333333,1.3287851857326947,185
337,181,38,52,Francisco Morato,25.25,-1.5718041817682573,12.016666666666667,0.8528945390898183,186
769,163,43,102,Franco da Rocha,25.416666666666668,-1.4180996787288531,12.058333333333332,0.895195929902516,187
24,479,21,50,Gabriel Monteiro,29.8671875,1.1644561900478019,10.334375,-1.1488572133090835,188
76,306,5,6,Gália,28.15,0.24532460971980996,10.568888888888889,-0.5906795903480281,189
280,8076,221,767,Garça,27.583333333333332,0.016475682972251795,10.625,-0.6535049892957814,190
9,352,16,189,Gastão Vidigal,29.354166666666664,0.6056762779566359,10.364583333333332,-0.7980347412391723,191
144,303,23,12,Gavião Peixoto,28.5,0.016475682972251795,10.941666666666668,-0.42398077618242463,192
25,1333,34,343,General Salgado,29.416666666666668,0.682528529476338,10.433333333333334,-0.9449145704499373,193
148,36,17,48,Getulina,28.825,0.8106156153425053,10.458333333333332,-0.8328158847962817,194
5,335,14,21,Glicério,29.55708333333333,1.1397994260185647,10.297833333333331,-1.1115467990929644,195
331,102,52,38,Guaiçara,29.102083333333333,1.0988115585413882,10.477083333333333,-1.042619032840939,196
109,131,15,216,Guaimbê,28.727083333333333,0.7529764267027309,10.552083333333334,-0.828468241851645,197
