Accession ID	Collection date	Submission date	Location
EPI_ISL_17699729	2023-03-20	2023-05-23	South America / Brazil / Sao Paulo / Batatais
EPI_ISL_17699730	2023-03-13	2023-05-23	South America / Brazil / Sao Paulo / Bebedouro
EPI_ISL_17699731	2023-02-05	2023-05-23	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17699732	2023-03-07	2023-05-23	South America / Brazil / Sao Paulo / Capao Bonito
EPI_ISL_17699733	2023-03-21	2023-05-23	South America / Brazil / Sao Paulo / Caraguatatuba
EPI_ISL_17699734	2023-03-13	2023-05-23	South America / Brazil / Sao Paulo / Castilho
EPI_ISL_17699735	2023-03-21	2023-05-23	South America / Brazil / Sao Paulo / Dracena
EPI_ISL_17699736	2023-03-19	2023-05-23	South America / Brazil / Sao Paulo / Franco da Rocha
EPI_ISL_17699737	2023-03-27	2023-05-23	South America / Brazil / Sao Paulo / Guaruja
EPI_ISL_17699738	2023-03-05	2023-05-23	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_17699739	2023-02-13	2023-05-23	South America / Brazil / Sao Paulo / Herculandia
EPI_ISL_17699740	2023-03-21	2023-05-23	South America / Brazil / Sao Paulo / Ilha Solteira
EPI_ISL_17699741	2023-03-19	2023-05-23	South America / Brazil / Sao Paulo / Ilhabela
EPI_ISL_17699742	2023-03-02	2023-05-23	South America / Brazil / Sao Paulo / Itapolis
EPI_ISL_17699743	2023-03-20	2023-05-23	South America / Brazil / Sao Paulo / Itarare
EPI_ISL_17699744	2023-02-28	2023-05-23	South America / Brazil / Sao Paulo / Ituverava
EPI_ISL_17699745	2023-04-03	2023-05-23	South America / Brazil / Sao Paulo / Jau
EPI_ISL_17699746	2023-03-28	2023-05-23	South America / Brazil / Sao Paulo / Jundiai
EPI_ISL_17699747	2023-02-15	2023-05-23	South America / Brazil / Sao Paulo / Laranjal Paulista
EPI_ISL_17699748	2023-03-10	2023-05-23	South America / Brazil / Sao Paulo / Limeira
EPI_ISL_17699749	2023-03-17	2023-05-23	South America / Brazil / Sao Paulo / Limeira
EPI_ISL_17699750	2023-03-27	2023-05-23	South America / Brazil / Sao Paulo / Lins
EPI_ISL_17699751	2023-03-29	2023-05-23	South America / Brazil / Sao Paulo / Lins
EPI_ISL_17699752	2023-03-20	2023-05-23	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_17699753	2023-03-27	2023-05-23	South America / Brazil / Sao Paulo / Mogi Guacu
EPI_ISL_17699754	2023-03-15	2023-05-23	South America / Brazil / Sao Paulo / Orlandia
EPI_ISL_17699755	2023-03-28	2023-05-23	South America / Brazil / Sao Paulo / Osvaldo Cruz
EPI_ISL_17699756	2023-02-28	2023-05-23	South America / Brazil / Sao Paulo / Panorama
EPI_ISL_17699757	2023-03-22	2023-05-23	South America / Brazil / Sao Paulo / Peruibe
EPI_ISL_17699758	2023-03-15	2023-05-23	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17699759	2023-02-25	2023-05-23	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17699760	2023-02-22	2023-05-23	South America / Brazil / Sao Paulo / Rio Claro
EPI_ISL_17699761	2023-02-15	2023-05-23	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_17699762	2023-02-15	2023-05-23	South America / Brazil / Sao Paulo / Santa Barbara D''Oeste
EPI_ISL_17699763	2023-03-20	2023-05-23	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17699764	2023-03-30	2023-05-23	South America / Brazil / Sao Paulo / Sao Caetano do Sul
EPI_ISL_17699766	2023-02-14	2023-05-23	South America / Brazil / Sao Paulo / Sao Joaquim da Barra
EPI_ISL_17699767	2023-02-21	2023-05-23	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17699768	2023-03-24	2023-05-23	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17699769	2023-02-22	2023-05-23	South America / Brazil / Sao Paulo / Taquaritinga
EPI_ISL_17699770	2023-03-06	2023-05-23	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_17699771	2023-03-07	2023-05-23	South America / Brazil / Sao Paulo / Viradouro
EPI_ISL_17699772	2023-02-13	2023-05-23	South America / Brazil / Sao Paulo / Franco da Rocha
EPI_ISL_17699773	2023-03-05	2023-05-23	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_17699774	2023-03-14	2023-05-23	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_17699775	2023-03-16	2023-05-23	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17699776	2023-04-19	2023-05-23	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17699777	2023-03-13	2023-05-23	South America / Brazil / Sao Paulo / Sorocaba
EPI_ISL_17859411	2023-02-16	2023-06-20	South America / Brazil / Sao Paulo / Braganca Paulista
EPI_ISL_17983072	2023-04-08	2023-07-13	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_17983073	2023-04-04	2023-07-13	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_17983074	2023-04-08	2023-07-13	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_17983075	2023-04-08	2023-07-13	South America / Brazil / Sao Paulo / Canitar
EPI_ISL_17983076	2023-04-11	2023-07-13	South America / Brazil / Sao Paulo / Herculandia
EPI_ISL_17983077	2023-04-23	2023-07-13	South America / Brazil / Sao Paulo / Indaiatuba
EPI_ISL_17983078	2023-04-25	2023-07-13	South America / Brazil / Sao Paulo / Lins
EPI_ISL_17983079	2023-04-28	2023-07-13	South America / Brazil / Sao Paulo / Ocaucu
EPI_ISL_17983080	2023-04-24	2023-07-13	South America / Brazil / Sao Paulo / Pradopolis
EPI_ISL_17983081	2023-04-24	2023-07-13	South America / Brazil / Sao Paulo / Natividade Da Serra
EPI_ISL_17983082	2023-04-17	2023-07-13	South America / Brazil / Sao Paulo / Peruibe
EPI_ISL_17983083	2023-05-01	2023-07-13	South America / Brazil / Sao Paulo / Mairipora
EPI_ISL_17983084	2023-05-03	2023-07-13	South America / Brazil / Sao Paulo / Jandira
EPI_ISL_17983085	2023-05-08	2023-07-13	South America / Brazil / Sao Paulo / Mairipora
EPI_ISL_17983086	2023-05-02	2023-07-13	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_17983087	2023-05-15	2023-07-13	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_18485690	2023-05-08	2023-11-09	South America / Brazil / Sao Paulo / Sao Caetano Do Sul
EPI_ISL_18485691	2023-05-11	2023-11-09	South America / Brazil / Sao Paulo / Sao Bernardo Do Campo
EPI_ISL_18485692	2023-05-11	2023-11-09	South America / Brazil / Sao Paulo / Santo Andre
EPI_ISL_18485693	2023-05-12	2023-11-09	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_18485695	2023-05-09	2023-11-09	South America / Brazil / Sao Paulo / Peruibe
EPI_ISL_18485696	2023-05-12	2023-11-09	South America / Brazil / Sao Paulo / Ourinhos
EPI_ISL_18485697	2023-05-19	2023-11-09	South America / Brazil / Sao Paulo / Bariri
EPI_ISL_18485698	2023-05-15	2023-11-09	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_18485699	2023-05-14	2023-11-09	South America / Brazil / Sao Paulo / Sao Jose Dos Campos
EPI_ISL_18485700	2023-05-22	2023-11-09	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_18485701	2023-05-17	2023-11-09	South America / Brazil / Sao Paulo / Jundiai
EPI_ISL_18485702	2023-05-09	2023-11-09	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_18485703	2023-05-17	2023-11-09	South America / Brazil / Sao Paulo / Buri
EPI_ISL_18485704	2023-05-15	2023-11-09	South America / Brazil / Sao Paulo / Santa Isabel
EPI_ISL_18485705	2023-05-25	2023-11-09	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_18485706	2023-05-27	2023-11-09	South America / Brazil / Sao Paulo / Cotia
EPI_ISL_18485707	2023-05-10	2023-11-09	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_18485708	2023-05-20	2023-11-09	South America / Brazil / Sao Paulo / Narandiba
EPI_ISL_18485709	2023-05-25	2023-11-09	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_18485710	2023-05-23	2023-11-09	South America / Brazil / Sao Paulo / Caraguatatuba
EPI_ISL_18485711	2023-04-26	2023-11-09	South America / Brazil / Sao Paulo / Guaruja
EPI_ISL_18485712	2023-05-26	2023-11-09	South America / Brazil / Sao Paulo / Ilha Solteira
EPI_ISL_18485713	2023-06-01	2023-11-09	South America / Brazil / Sao Paulo / Rosana
EPI_ISL_18485714	2023-05-19	2023-11-09	South America / Brazil / Sao Paulo / Capivari
EPI_ISL_18485715	2023-06-03	2023-11-09	South America / Brazil / Sao Paulo / Mairipora
